jaar,field_name,corr_field,spearman,pearson,S>P
2016,gem_veiligheidsgevoel, Bedrog,0.15173503571673042,0.04822733984076777,TRUE
2016,gem_veiligheidsgevoel, Bedrog (overig),0.1666999876249451,0.06494155600771756,TRUE
2016,gem_veiligheidsgevoel, Brandstichting/ontploffing,0.07030556335164606,0.04156282130194566,TRUE
2016,gem_veiligheidsgevoel, Computervredebreuk,0.006543490146837971,0.0389870129475578,FALSE
2016,gem_veiligheidsgevoel, Diefstal en inbraak met geweld,0.010245193941127884,0.016378937868094745,FALSE
2016,gem_veiligheidsgevoel, Diefstal en inbraak zonder geweld,0.05126558978649154,0.022401873389064075,TRUE
2016,gem_veiligheidsgevoel, Diefstal/verduistering en inbraak,0.05126558978649154,0.02200487847725352,TRUE
2016,gem_veiligheidsgevoel, Discriminatie,0.07628167743715686,0.04021551586554217,TRUE
2016,gem_veiligheidsgevoel, Drugsmisdrijf (overig),0.2969523388735098,0.4390838633899281,FALSE
2016,gem_veiligheidsgevoel, Drugsmisdrijven,0.006543490146837971,0.0149027744899759,FALSE
2016,gem_veiligheidsgevoel, Flessentrekkerij,0.3338931364506603,0.23718057798658831,TRUE
2016,gem_veiligheidsgevoel, Gewelds- en seksuele misdrijven,0.047855976842060555,0.035840012821303,TRUE
2016,gem_veiligheidsgevoel, Geweldsmisdrijf (overig),0.17451900813005938,0.06162929464404865,TRUE
2016,gem_veiligheidsgevoel, Harddrugs,0.006543490146837971,0.02228887168025695,FALSE
2016,gem_veiligheidsgevoel, Heling,0.011374198642690958,0.021087894193233758,FALSE
2016,gem_veiligheidsgevoel, Huisvredebreuk,0.09515736659412477,0.04957995669197146,TRUE
2016,gem_veiligheidsgevoel, Joyriding,0.05484211977540765,0.03349526693947036,TRUE
2016,gem_veiligheidsgevoel, Levensmisdrijf,0.047855976842060555,0.03121253269653268,TRUE
2016,gem_veiligheidsgevoel, Lokaalvredebreuk,0.08001937592027497,0.08408212331254283,FALSE
2016,gem_veiligheidsgevoel," Mensenhandel, mensensmokkel",0.15173503571673042,0.03254519307148995,TRUE
2016,gem_veiligheidsgevoel, Militair misdrijf,0.8311469125208302,0.9529206994642894,FALSE
2016,gem_veiligheidsgevoel, Misdrijf (overig),0.2652387868927899,0.07727728319271798,TRUE
2016,gem_veiligheidsgevoel, Misdrijven overige wetten,0.2652387868927899,0.07903979393128369,TRUE
2016,gem_veiligheidsgevoel, Misdrijven WvSr (overig),0.05484211977540765,0.04225167832677679,TRUE
2016,gem_veiligheidsgevoel, Mishandeling,0.047855976842060555,0.03502386467748142,TRUE
2016,gem_veiligheidsgevoel, Muntmisdrijf,0.01507022931093216,0.013676373385402396,TRUE
2016,gem_veiligheidsgevoel, Niet opvolgen van ambtelijk bevel,0.23473669062919855,0.0511823313068569,TRUE
2016,gem_veiligheidsgevoel, Ontucht met minderjarige,0.30148269746145573,0.15128431162015588,TRUE
2016,gem_veiligheidsgevoel, Ontucht met misbruik van gezag,0.7613069111155326,0.16175172891188128,TRUE
2016,gem_veiligheidsgevoel, Openbaar gezag misdrijf,0.15910576941219556,0.03266913765969104,TRUE
2016,gem_veiligheidsgevoel, Openbaar gezag misdrijf (overig),0.031136392400682222,0.05261054520278119,FALSE
2016,gem_veiligheidsgevoel, Openbare orde misdrijf,0.041521494410318605,0.028160912408788485,TRUE
2016,gem_veiligheidsgevoel, Openbare orde misdrijf (overig),0.10060263183225482,0.04681908864391349,TRUE
2016,gem_veiligheidsgevoel, Openlijk geweld tegen goed,0.06661188226688908,0.0317993867656956,TRUE
